ticker,date,TotalDebt,WorkingCapital,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow
DD,2019-12-31,17447000000.0,1653000000,2954000000.0,-1268000000,-11550000000,1409000000
DD,2020-12-31,21811000000.0,6178000000,2810000000.0,2831000000,3238000000,4095000000
DD,2021-12-31,10782000000.0,3803000000,2062000000.0,-956000000,-6507000000,2281000000
DE,2018-10-31,42256300000.0,21385300000,5004300000.0,-1129800000,876400000,1820300000
DE,2019-10-31,45334000000.0,24364000000,5230000000.0,-37000000,509000000,3412000000
DE,2020-10-31,46295000000.0,27880000000,4171000000.0,4827000000,-980000000,7483000000
DE,2021-10-31,48691000000.0,30347000000,4208000000.0,5146000000,-1078000000,7726000000
DELL,2019-01-31,53521000000.0,-8834000000,12371000000.0,5494000000,-14329000000,6991000000
DELL,2020-01-31,53848000000.0,-15588000000,12484000000.0,6715000000,-4604000000,9291000000
DELL,2021-01-31,50207000000.0,-10565000000,12788000000.0,9325000000,-5950000000,11407000000
DELL,2022-01-31,26954000000.0,-11186000000,12912000000.0,7511000000,-16609000000,10307000000
DHR,2018-12-31,9740300000.0,2252300000,3489600000.0,3366300000,-797400000,4022000000
DHR,2019-12-31,22526000000.0,20664500000,3191400000.0,3316100000,16365900000,3951600000
DHR,2020-12-31,22178000000.0,6400000000,4045000000.0,5417000000,1006000000,6208000000
DHR,2021-12-31,23272000000.0,3508000000,4631000000.0,7064000000,1295000000,8358000000
DUK,2018-12-31,57939000000.0,-5327000000,3134000000.0,-2203000000,2960000000,7186000000
DUK,2019-12-31,62693000000.0,-5589000000,3060000000.0,-2913000000,3730000000,8209000000
DUK,2020-12-31,64076000000.0,-7623000000,3153000000.0,-1051000000,1731000000,8856000000
DUK,2021-12-31,68213000000.0,-5991000000,3610000000.0,-1425000000,2609000000,8290000000
ECL,2018-12-31,7045200000.0,992100000,2662500000.0,1430600000,-1172700000,2277700000
ECL,2019-12-31,6932500000.0,1197800000,2796500000.0,1620100000,-1349600000,2420700000
ECL,2020-12-31,7112700000.0,2185200000,2273800000.0,1371200000,-341800000,1860200000
ECL,2021-12-31,9155900000.0,1133900000,2478400000.0,1418900000,1603200000,2061900000
ED,2018-12-31,20711000000.0,-2343000000,1267000000.0,-802000000,2938000000,2695000000
ED,2019-12-31,22539000000.0,-2015000000,1236000000.0,-352000000,859000000,3134000000
ED,2020-12-31,25079000000.0,-2053000000,1701000000.0,-1711000000,2245000000,2198000000
ED,2021-12-31,25362000000.0,124000000,1943000000.0,-1220000000,461000000,2733000000
EIX,2018-12-31,15431000000.0,-2036000000,730000000.0,-1332000000,82000000,3177000000
EIX,2019-12-31,19586000000.0,-1963000000,788000000.0,-5184000000,4903000000,-307000000
EIX,2020-12-31,24147000000.0,-5216000000,1130000000.0,-4221000000,3727000000,1263000000
EIX,2021-12-31,29533000000.0,-3118000000,1398000000.0,-5345000000,5218000000,158000000
EL,2018-06-30,3544000000.0,2858000000,1487000000.0,1944000000,-1172000000,2573000000
EL,2019-06-30,3412000000.0,2607000000,1831000000.0,1773000000,-2173000000,2517000000
