ticker,date,date2,ebit_to_interestExpense,ebitda_to_interestExpense,FreeOperCF_to_TotalDebt,FFO_to_TotalDebt,Return_on_Capital,ebitda_to_Revenue,TotalDebt_to_EnterpriseValue,TotalDebt_to_ebitda,ROCE,ROIC,DIO,DPO,DSO,InventoryTurnover,CCC
AAL,2020-12-31,2020,-9.012224938875306,-7.080684596577017,-0.15984495746081276,-0.18702615733404843,-0.21969206883167292,-0.5011247620695622,1.061482727390348,-4.7215699815837935,-0.14072820290924826,-0.2588862212332377,28.101253166244497,26.42247700306626,32.548307088885046,12.98874458874459,34.22708325206328
AAL,2021-12-31,2021,-2.8761111111111113,-1.5788888888888888,-0.0526236004937523,-0.05344652099530069,-0.10160028136815265,-0.09510742252861254,1.015057592543744,-16.248064743138634,-0.06056883460274005,,22.26071633032775,19.380993273221698,17.38764138946523,16.396597242593135,20.267364446571285
AAP,2018-12-29,2018,10.915300063617728,15.124390330105323,1.0036854989863444,0.8202453811727805,-10.921746552266296,0.0893329341914883,-23.48771393917614,1.2218367745154284,0.047783260529955365,0.09608676800536405,,,,,
AAP,2019-12-28,2019,19.236377763296407,25.210887763797682,0.46156726095586187,0.36700333046480005,0.29707927744335005,0.1036011627558463,1.331839368690336,2.7483626017036102,0.04880337794945984,0.07984100887613327,295.15711895874546,221.32557786072644,24.38617667540117,1.2366294985113218,98.21771777342016
AAP,2021-01-02,2021,17.0608497205989,22.39465938659728,0.3907423877607488,0.3120788998481897,0.28285897216140105,0.1038949782022558,1.4858405492545836,3.211413186335948,0.04823544728146583,0.07925692092154017,291.21739420081235,229.28376731240834,24.92131162269633,1.2533591992390054,86.85493851110036
ABBN.SW,2018-12-31,2018,7.770491803278689,10.580327868852459,0.46402877697841727,0.38280343467161754,0.4149057032492615,0.11665823150892922,1.9581913201545103,2.6705918810040283,0.03768604503243862,0.17235268054940187,,,,,
ABBN.SW,2019-12-31,2019,28.49462365591398,38.03225806451613,0.4264457891082234,0.35899216347584567,0.32318017552916883,0.12642075916791765,1.7348132851488556,2.850155499010461,0.039925271943833426,0.1319100266869996,81.2603848985172,84.22560206120518,77.86484023161054,4.491733585262163,74.89962306892257
ABBN.SW,2020-12-31,2020,4.198660714285714,6.104910714285714,0.4814658803706824,0.40002808199943835,0.4396825396825397,0.10465294252697635,2.260952380952381,2.604021937842779,0.033289678606824295,0.30174946288420224,87.13637366881863,89.86536445400873,86.4804469273743,4.188836241765862,83.75145614218422
ABEV3.SA,2018-12-31,2018,11.475782538609606,14.329638685357867,10.32049696619474,8.888806290502332,-1.2203036770060947,0.42667610911244724,-0.1920985620161508,0.11303855157242192,0.14194165167962808,0.3376316907174819,,,,,
ABEV3.SA,2019-12-31,2019,10.499662890223044,13.38710550282703,8.455674872665535,6.862817030168474,-1.120382927750527,0.40051125735312215,-0.2202301227897263,0.14704755510634493,0.12888070565233625,0.30542510140334694,95.80674608946268,245.14676961267793,32.89870305077654,3.809752599876102,-116.44132047243872
ABEV3.SA,2020-12-31,2020,9.112144296428971,11.865990148886153,5.402932412411577,4.446252947436513,-0.8544203221403671,0.3631405096987367,-0.28205380227924287,0.22605425396435755,0.10259841744116446,0.23190618890247305,91.59666175018424,232.010000222049,27.50551803778054,3.984861380597921,-112.90782043408421
ABEV3.SA,2021-12-31,2021,12.076874562605552,15.636762505814465,9.602191881447414,7.246657724122513,-0.7865780826044145,0.30730233464184376,-0.14787677039702676,0.1398542364296367,0.0974331619329628,0.2773122702927763,95.22336468539987,227.31870859757154,22.782207056864035,3.833092867552953,-109.31313685530763
ABT,2018-12-31,2018,4.646489104116223,8.615012106537531,0.4349381580292344,,0.23024846454494696,0.23271633200340114,1.3655778894472361,2.7495784148397977,0.050377370873531536,0.0866839688560591,,,,,
ABT,2019-12-31,2019,7.1985074626865675,11.697014925373134,0.5014819519424156,,0.3309196775156763,0.24564317953861584,1.4104210212003583,2.4108715069541917,0.06124444444444444,0.1191829058461046,112.02724177071511,85.99527052591752,60.67507209127382,3.258136094674556,86.70704333607141
ABT,2020-12-31,2020,10.17032967032967,16.263736263736263,0.5627258384650619,,0.47545608425804026,0.2565880721220527,1.8477524920067707,2.2127252252252254,0.06575099165235924,0.13455266721339615,113.51336934053478,87.59318530372741,62.43115753582987,3.215480274442539,88.35134157263724
ABX.TO,2018-12-31,2018,2.6808035714285716,6.747767857142857,0.7708260718020216,0.5390379923318229,0.0010842067220816769,0.4173684937180726,2.073726057101554,1.898114455838571,0.0494259023005062,-0.10651864076213337,,,,,
ABX.TO,2019-12-31,2019,6.752913752913753,10.655011655011656,1.1329479768786128,0.833092485549133,2.1381957773512474,0.4704126788103324,10.625719769673704,1.2111135418945527,0.06194406431748204,0.16749480866211808,110.22936114352392,38.837149941656946,2.704538437789441,3.3112774692103355,74.09674963965641
ABX.TO,2020-12-31,2020,15.018461538461539,20.655384615384616,1.6344146159582402,1.2598806860551828,-1.889776357827476,0.5329892814608972,-2.856230031948882,0.7990466259496499,0.1001723925624923,0.1000174185681937,102.51786195740092,40.446211916958745,4.825129019452164,3.560355171586273,66.89677905989434
ACA,2018-12-31,2018,131.22222222222223,206.33333333333334,1.2425876010781671,1.0560646900269541,2.3922518159806296,0.1271569433032046,4.491525423728813,0.9989229940764675,0.049586429861023636,0.04577540106951872,,,,,
ACA,2019-12-31,2019,22.558823529411764,35.1764705882353,3.025163094128611,2.3122087604846224,-0.548741418764302,0.13771662156715989,-0.49107551487414186,0.44857859531772576,0.059307945099555386,0.0649206934710439,69.62157351370594,22.895336418654328,51.63250618918763,5.242627846211273,98.35874328423924
ACA,2020-12-31,2020,15.50943396226415,26.31132075471698,1.418467583497053,1.1335952848722985,1.7336814621409922,0.1440896879520562,3.322454308093995,0.912513445679455,0.055596888738586404,0.054222760516141055,65.79444515962925,27.499517250257465,43.39042157470552,5.547580789144796,81.6853494840773
ACA,2021-12-31,2021,5.1239316239316235,11.290598290598291,0.5140544518027962,0.4182487122884474,0.2030680728667306,0.12973875466509527,1.3029721955896452,2.5719152157456473,0.03375468032994566,0.03015800668489821,65.70305951383068,35.92743384025865,51.172412099783934,5.555296856810244,80.94803777335596
ADI,2018-11-03,2018,7.728450366537981,10.879466380639538,0.4759109658889752,,0.3443156674884679,0.44322101875290476,1.2036542185091748,2.2953511038586574,0.09119774795052274,0.12557844517368966,,,,,
ADI,2019-11-02,2019,7.885906362545018,11.427327294554185,0.5267898160916066,,0.3685779487656584,0.43693650461145056,1.2021997603007732,2.0979820186689535,0.07888050590026152,0.12443920033751316,110.4466890707854,44.87372649274395,38.834609956660465,3.304761809256873,104.40757253470193
ADI,2020-10-31,2020,8.015193605959494,12.2102377072502,0.4909508110820738,,0.3717350358731251,0.4212522594812545,1.3113384562449821,2.1798508664152862,0.0678551672275436,0.1229020721928838,116.23664237484694,43.18208067853964,44.71000111367797,3.1401457624948077,117.76456280998525
ADI,2021-10-30,2021,9.594870823752197,15.409203300419316,0.46782043579352933,0.42268093973851917,0.4077220749771541,0.38916298160525564,1.5158270365051987,2.395518478542531,0.032189059601941704,0.055779680697484436,118.1834560447704,43.82098838137612,54.777585899211914,3.0884187365592886,129.1400535626062
ADM,2018-12-31,2018,5.285714285714286,7.8708791208791204,0.44194086790653314,,0.30257704090827175,0.044528372266517464,1.5116237159848622,2.9277486910994766,0.03657168925469026,0.09382878439109942,,,,,
ADM,2019-12-31,2019,3.9477611940298507,6.417910447761194,0.37467018469656993,,0.18581445523193096,0.039903489235337784,1.226537216828479,3.525581395348837,0.027489563665968025,0.07659694742792539,54.238171181146605,21.99024112115553,16.834168522642912,6.72957793471612,49.082098582633975
ADM,2020-12-31,2020,5.327433628318584,8.206489675516224,0.32615579480683976,,0.17827268925135925,0.04322896433843524,1.1556879966541196,3.973040977713875,0.02659754642788766,0.0831159630309471,63.62304263630597,25.043404226903945,19.663662497086474,5.736915194177082,58.2433009064885
AGCO,2018-12-31,2018,13.302139037433156,21.053475935828878,0.6787941075710859,0.5416923603973963,0.4156542307278787,0.08419589392643285,1.5691861090205355,1.8535687071374143,0.04786829723566597,0.07572170112011657,,,,,
AGCO,2019-12-31,2019,18.17013888888889,27.614583333333332,0.7154237515062257,0.5356808140313295,0.4348654139156932,0.08796204127679341,1.8966480446927374,1.8782849239280774,0.04916292440953759,0.03983807157972215,103.11608167660938,46.04975839934251,33.926825491627405,3.5397000551737974,90.99314876889427
AGCO,2020-12-31,2020,25.3855421686747,36.30923694779116,0.6738219594788498,0.5200022958158755,1.257854514576847,0.09881198290654339,4.931502971978489,1.9271098329830771,0.05326535771467093,0.100607754695805,104.29637489072502,45.54394264121147,33.04056417150289,3.4996422491426316,91.79299642101644
