ticker,date,TotalDebt,WorkingCapital,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow,SaleOfPPE
MSI,2020-12-31,5703000000.0,838000000.0,1390000000.0,1396000000.0,-966000000.0,1613000000.0,56000000.0
MSI,2021-12-31,6130000000.0,1349000000.0,1386000000.0,1594000000.0,-429000000.0,1837000000.0,6000000.0
MT,2018-12-31,12483000000.0,9020000000.0,4432000000.0,891000000.0,-689000000.0,4196000000.0,
MT,2019-12-31,14340000000.0,7329000000.0,3569000000.0,2445000000.0,514000000.0,6017000000.0,
MT,2020-12-31,12322000000.0,5306000000.0,3072000000.0,1643000000.0,-1498000000.0,4082000000.0,
MT,2021-12-31,8401000000.0,10772000000.0,5143000000.0,6897000000.0,-10898000000.0,9905000000.0,
MTH,2018-12-31,1310057000.0,2923861000.0,,228785000.0,-87953000.0,262200000.0,99000.0
MTH,2019-12-31,1053212000.0,2854188000.0,,322435000.0,-325331000.0,346820000.0,459000.0
MTH,2020-12-31,1048339000.0,459280000.0,,510428000.0,-85971000.0,530360000.0,703000.0
MTH,2021-12-31,1186209000.0,4047509000.0,,-177756000.0,51627000.0,-152092000.0,551000.0
MTW,2018-12-31,273100000.0,346300000.0,171800000.0,-544700000.0,-1300000.0,-513000000.0,13000000.0
MTW,2019-12-31,349800000.0,431500000.0,168300000.0,-88400000.0,3700000.0,-53300000.0,17200000.0
MTW,2020-12-31,339300000.0,430200000.0,215100000.0,-61400000.0,-14800000.0,-35100000.0,500000.0
MTW,2021-12-31,436400000.0,420800000.0,236100000.0,35800000.0,100900000.0,76200000.0,300000.0
MTX,2018-12-31,1016300000.0,494400000.0,387300000.0,127700000.0,4200000.0,203600000.0,
MTX,2019-12-31,927600000.0,520700000.0,376200000.0,173300000.0,-143300000.0,238300000.0,
MTX,2020-12-31,934200000.0,737800000.0,369000000.0,173800000.0,-43000000.0,240600000.0,
MTX,2021-12-31,1017000000.0,608700000.0,367800000.0,146400000.0,5600000.0,232400000.0,
MU,2018-08-31,4639000000.0,10285000000.0,5056000000.0,8521000000.0,-7776000000.0,17400000000.0,
MU,2019-08-31,5851000000.0,10113000000.0,2778000000.0,3409000000.0,-2438000000.0,13189000000.0,
MU,2020-08-31,7176000000.0,11330000000.0,3494000000.0,83000000.0,-317000000.0,8306000000.0,
MU,2021-08-31,7280000000.0,13483000000.0,4920000000.0,2438000000.0,-1781000000.0,12468000000.0,
MWA,2018-09-30,445000000.0,518400000.0,164300000.0,77400000.0,-98300000.0,133100000.0,
MWA,2019-09-30,446300000.0,388400000.0,172800000.0,5900000.0,-50900000.0,92500000.0,
MWA,2020-09-30,474900000.0,426200000.0,180800000.0,72600000.0,-41400000.0,140300000.0,
MWA,2021-09-30,475500000.0,433600000.0,212200000.0,94000000.0,-58800000.0,156700000.0,
NEM,2018-12-31,4261000000.0,3490000000.0,254000000.0,795000000.0,-455000000.0,1827000000.0,
NEM,2019-12-31,6909000000.0,3887000000.0,373000000.0,1403000000.0,-2777000000.0,2866000000.0,
NEM,2020-12-31,6810000000.0,5136000000.0,449000000.0,3580000000.0,-1680000000.0,4882000000.0,1156000000.0
NEM,2021-12-31,6302000000.0,5042000000.0,337000000.0,2626000000.0,-2958000000.0,4279000000.0,84000000.0
NEU,2018-12-31,770999000.0,542119000.0,276667000.0,123273000.0,-145427000.0,197911000.0,
NEU,2019-12-31,714888000.0,570503000.0,289737000.0,277778000.0,-208079000.0,337212000.0,
NEU,2020-12-31,670659000.0,585623000.0,284759000.0,190838000.0,-231463000.0,284154000.0,20000000.0
NEU,2021-12-31,1232631000.0,663086000.0,316702000.0,86402000.0,255133000.0,165336000.0,0.0
NKE,2018-05-31,3810000000.0,9094000000.0,3498000000.0,3927000000.0,-4835000000.0,4955000000.0,3000000.0
NKE,2019-05-31,3479000000.0,8659000000.0,4272000000.0,4784000000.0,-5293000000.0,5903000000.0,5000000.0
NKE,2020-05-31,13015000000.0,12272000000.0,2749000000.0,1399000000.0,2491000000.0,2485000000.0,
NKE,2021-05-31,3400000000.0,16617000000.0,4463000000.0,5962000000.0,-1459000000.0,6657000000.0,
NOKI34.SA,2018-12-31,984741224.122412,1073630738.0738071,1251152115.211521,-80387038.70387037,-249663591.35913584,92754275.42754273,22673267.32673267
NOKI34.SA,2019-12-31,1320256837.256682,1182434661.2928226,1250101866.8202047,-74632947.27284805,-119163939.14564739,97022831.45470247,9702283.145470247
NOKI34.SA,2020-12-31,1248759802.306425,1242598791.8725975,1059501263.0422845,246440417.3531027,170005381.65842944,338663042.2844591,2502910.4887424493
NOKI34.SA,2021-12-31,1016272515.4910378,1345457219.3784564,966015308.7906686,370646899.41522306,-217541909.0030268,471161312.81596154,18487472.46477868
NOMD,2018-12-31,1764300000.0,96800000.0,98300000.0,279700000.0,302700000.0,321300000.0,
NOMD,2019-12-31,1876600000.0,597200000.0,143600000.0,268100000.0,251400000.0,315400000.0,
NOMD,2020-12-31,1769500000.0,51000000.0,141200000.0,398300000.0,-714800000.0,457000000.0,
NOMD,2021-12-31,2227400000.0,-37100000.0,182800000.0,227100000.0,214400000.0,306300000.0,
NOV,2018-12-31,2711000000.0,4938000000.0,2101000000.0,277000000.0,-30000000.0,521000000.0,
NOV,2019-12-31,2777000000.0,3866000000.0,1855000000.0,481000000.0,-647000000.0,714000000.0,
NOV,2020-12-31,2556000000.0,3342000000.0,1274000000.0,700000000.0,-259000000.0,926000000.0,
NOV,2021-12-31,2388000000.0,2992000000.0,1321000000.0,90000000.0,-189000000.0,291000000.0,
NOVN,2018-12-31,8019000.0,289000.0,,-29732000.0,35353000.0,-28625000.0,49000.0
NOVN,2019-12-31,6262000.0,2825000.0,419000.0,-20298000.0,25816000.0,-19876000.0,0.0
NOVN,2020-12-31,956000.0,35307000.0,4863000.0,-31708000.0,52814000.0,-31060000.0,522000.0
NOVN,2021-12-31,3613000.0,42980000.0,4473000.0,-33827000.0,44093000.0,-24777000.0,0.0
NOVO-B.CO,2018-12-31,78967632.2097679,751802525.6786252,3493896053.45975,4938313714.461719,-5293284721.385238,6841203647.904863,1993357.7062659857
NOVO-B.CO,2019-12-31,674055035.8027169,522193428.36110544,3745719172.8568554,5345378223.917553,-5335304236.097169,7034049227.062838,601432.1086796493
NOVO-B.CO,2020-12-31,1707837439.0194733,-736170947.0628552,4573692886.613178,4925946726.874437,-5317449824.61799,8567387291.859856,1154389.925949818
NOVO-B.CO,2021-12-31,4058163493.088053,-2120236216.4488192,6190127185.197138,7251996799.526652,-3882708272.8201814,8376768328.761228,0.0
NP,2018-12-31,239100000.0,157100000.0,114800000.0,54600000.0,-52600000.0,92700000.0,5000000.0
NP,2019-12-31,215700000.0,152300000.0,102600000.0,76200000.0,-75200000.0,97600000.0,
NP,2020-12-31,216000000.0,155300000.0,100200000.0,74500000.0,-47000000.0,93400000.0,500000.0
NP,2021-12-31,481700000.0,172000000.0,142300000.0,25000000.0,199200000.0,53200000.0,0.0
NPO,2018-12-31,464900000.0,444900000.0,286600000.0,160400000.0,-252400000.0,226400000.0,30700000.0
NPO,2019-12-31,638600000.0,435900000.0,160800000.0,186000000.0,123800000.0,207600000.0,800000.0
NPO,2020-12-31,501400000.0,377000000.0,143200000.0,33100000.0,-167300000.0,51400000.0,800000.0
NPO,2021-12-31,1135900000.0,333900000.0,177000000.0,123200000.0,618200000.0,142000000.0,
NSC,2018-12-31,11145000000.0,-729000000.0,740000000.0,1775000000.0,-2312000000.0,3726000000.0,204000000.0
NSC,2019-12-31,12734000000.0,-219000000.0,682000000.0,1873000000.0,-1994000000.0,3892000000.0,377000000.0
NSC,2020-12-31,13114000000.0,158000000.0,629000000.0,2143000000.0,-1927000000.0,3637000000.0,333000000.0
NSC,2021-12-31,14253000000.0,-354000000.0,741000000.0,2785000000.0,-3309000000.0,4255000000.0,159000000.0
NTCO3.SA,2018-12-31,2174670364.5364532,486670861.8361835,435837138.83888376,92561295.00450042,-451248519.3519351,217526038.47884783,1711058.730873087
NTCO3.SA,2019-12-31,3309707259.693956,475569598.4232787,419378452.4215514,177616712.2262329,575276230.6619128,323498002.6131053,5642748.366809132
NTCO3.SA,2020-12-31,3404221647.8857775,495813860.73585945,692639083.4706206,117717848.76441516,-149720639.8682043,247524755.18945637,20062560.351455245
NTCO3.SA,2021-12-31,2919350315.27234,674164529.8806672,623971760.0988889,-285998865.65981513,-223497746.97706842,-20492376.032075554,20546761.50932631
NTR,2018-12-31,9223000000.0,3327000000.0,2746000000.0,647000000.0,-3705000000.0,2052000000.0,
NTR,2019-12-31,11104000000.0,1536000000.0,3047000000.0,1774000000.0,-2479000000.0,3665000000.0,
NTR,2020-12-31,11360000000.0,2990000000.0,3019000000.0,1774000000.0,-1339000000.0,3323000000.0,
NTR,2021-12-31,10846000000.0,1403000000.0,4705000000.0,2103000000.0,-3003000000.0,3886000000.0,
NUE,2018-12-31,4291146000.0,5829965000.0,2505568000.0,1411421000.0,-908177000.0,2393952000.0,31589000.0
NUE,2019-12-31,4383009000.0,5762596000.0,2160102000.0,1332120000.0,-880410000.0,2809413000.0,41618000.0
NUE,2020-12-31,5340580000.0,6860802000.0,2298850000.0,1153658000.0,285854000.0,2696877000.0,40933000.0
NUE,2021-12-31,5684811000.0,7642144000.0,3853972000.0,4608787000.0,-3602879000.0,6230776000.0,19401000.0
NVDA,2019-01-31,1988000000.0,9228000000.0,1424000000.0,3143000000.0,-2866000000.0,3743000000.0,0.0
NVDA,2020-01-31,2643000000.0,11906000000.0,1657000000.0,4272000000.0,-792000000.0,4761000000.0,0.0
NVDA,2021-01-31,7718000000.0,12130000000.0,2429000000.0,4694000000.0,3804000000.0,5822000000.0,
NVDA,2022-01-31,11687000000.0,24494000000.0,4650000000.0,8132000000.0,1865000000.0,9108000000.0,
NVR,2018-12-31,597681000.0,1840559000.0,18641000.0,703461000.0,-672258000.0,723126000.0,1257000.0
NVR,2019-12-31,683678000.0,2365207000.0,18278000.0,843836000.0,-424695000.0,866535000.0,1870000.0
NVR,2020-12-31,1590051000.0,4244200000.0,18299000.0,909150000.0,727642000.0,925269000.0,996000.0
NVR,2021-12-31,1590820000.0,4081012000.0,18552000.0,1224518000.0,-1397012000.0,1242393000.0,978000.0
NVT,2018-12-31,941700000.0,384800000.0,340900000.0,304000000.0,-166600000.0,343500000.0,2400000.0
NVT,2019-12-31,1113000000.0,336500000.0,334300000.0,297500000.0,-226400000.0,336300000.0,6300000.0
NVT,2020-12-31,997900000.0,314400000.0,313800000.0,304000000.0,-272500000.0,344000000.0,2000000.0
NVT,2021-12-31,1083100000.0,275200000.0,438100000.0,333800000.0,-166800000.0,373300000.0,600000.0
NWSA,2018-06-30,1952000000.0,1099000000.0,1612000000.0,393000000.0,-398000000.0,757000000.0,137000000.0
NWSA,2019-06-30,1453000000.0,710000000.0,1544000000.0,356000000.0,-610000000.0,928000000.0,103000000.0
NWSA,2020-06-30,2536000000.0,779000000.0,1203000000.0,342000000.0,-472000000.0,780000000.0,36000000.0
NWSA,2021-06-30,3572000000.0,1222000000.0,1498000000.0,847000000.0,699000000.0,1237000000.0,24000000.0
NXPI,2018-12-31,7354000000.0,1840000000.0,792000000.0,3708000000.0,-4597000000.0,4369000000.0,1000000.0
NXPI,2019-12-31,7365000000.0,1476000000.0,667000000.0,1745000000.0,-1831000000.0,2373000000.0,23000000.0
NXPI,2020-12-31,7609000000.0,2307000000.0,765000000.0,1960000000.0,-835000000.0,2482000000.0,4000000.0
NXPI,2021-12-31,10572000000.0,2776000000.0,923000000.0,2145000000.0,-1585000000.0,3077000000.0,1000000.0
OC,2018-12-31,3362000000.0,742000000.0,794000000.0,266000000.0,647000000.0,803000000.0,
OC,2019-12-31,3190000000.0,732000000.0,770000000.0,590000000.0,-573000000.0,1037000000.0,
OC,2020-12-31,3280000000.0,1166000000.0,919000000.0,828000000.0,-358000000.0,1135000000.0,
OC,2021-12-31,3118000000.0,1400000000.0,939000000.0,1087000000.0,-881000000.0,1503000000.0,
OCDX,2018-12-31,3649500000.0,188800000.0,332000000.0,-9600000.0,-8200000.0,69600000.0,
OCDX,2019-12-31,3615400000.0,138700000.0,348500000.0,74500000.0,-64400000.0,143000000.0,
