,ticker,date,exchange_rate
544,FLOW,2018-12-31,1.0
545,FLOW,2019-12-31,1.0
546,FLOW,2020-12-31,1.0
547,FME.DE,2017-12-31,1.1993
548,FME.DE,2018-12-31,1.145
549,FME.DE,2019-12-31,1.1234
550,FME.DE,2020-12-31,1.2271
551,FPH,2017-12-31,1.0
552,FPH,2018-12-31,1.0
553,FPH,2019-12-31,1.0
554,FPH,2020-12-31,1.0
555,FREE,2018-12-31,1.0
556,FREE,2019-12-31,1.0
557,FREE,2020-12-31,1.0
558,FTNT,2017-12-31,1.0
559,FTNT,2018-12-31,1.0
560,FTNT,2019-12-31,1.0
561,FTNT,2020-12-31,1.0
562,FTV,2018-12-31,1.0
563,FTV,2019-12-31,1.0
564,FTV,2020-12-31,1.0
565,FTV,2021-12-31,1.0
566,GBX,2018-08-31,1.0
567,GBX,2019-08-31,1.0
568,GBX,2020-08-31,1.0
569,GBX,2021-08-31,1.0
570,GD,2018-12-31,1.0
571,GD,2019-12-31,1.0
572,GD,2020-12-31,1.0
573,GD,2021-12-31,1.0
574,GFI,2018-12-31,1.0
575,GFI,2019-12-31,1.0
576,GFI,2020-12-31,1.0
577,GFI,2021-12-31,1.0
578,GGBR4.SA,2018-12-31,0.25765076507650764
579,GGBR4.SA,2019-12-31,0.24877649090949355
580,GGBR4.SA,2020-12-31,0.1925315760571115
581,GGBR4.SA,2021-12-31,0.17949002392989016
582,GHC,2018-12-31,1.0
583,GHC,2019-12-31,1.0
584,GHC,2020-12-31,1.0
585,GHC,2021-12-31,1.0
586,GIII,2018-01-31,1.0
587,GIII,2019-01-31,1.0
588,GIII,2020-01-31,1.0
589,GIII,2021-01-31,1.0
590,GLT,2017-12-31,1.0
591,GLT,2018-12-31,1.0
592,GLT,2019-12-31,1.0
593,GLT,2020-12-31,1.0
594,GLW,2017-12-31,1.0
595,GLW,2018-12-31,1.0
596,GLW,2019-12-31,1.0
597,GLW,2020-12-31,1.0
598,GOOGL,2017-12-31,1.0
599,GOOGL,2018-12-31,1.0
600,GOOGL,2019-12-31,1.0
601,GOOGL,2020-12-31,1.0
602,GTX,2018-12-31,1.0
603,GTX,2019-12-31,1.0
604,GTX,2020-12-31,1.0
605,GTX,2021-12-31,1.0
606,HBM,2017-12-31,1.0
607,HBM,2018-12-31,1.0
608,HBM,2019-12-31,1.0
609,HBM,2020-12-31,1.0
610,HCC,2018-12-31,1.0
611,HCC,2019-12-31,1.0
612,HCC,2020-12-31,1.0
613,HCC,2021-12-31,1.0
614,HFC,2017-12-31,1.0
615,HFC,2018-12-31,1.0
616,HFC,2019-12-31,1.0
617,HFC,2020-12-31,1.0
618,HII,2018-12-31,1.0
619,HII,2019-12-31,1.0
620,HII,2020-12-31,1.0
621,HII,2021-12-31,1.0
622,HLF,2017-12-31,1.0
623,HLF,2018-12-31,1.0
624,HLF,2019-12-31,1.0
625,HLF,2020-12-31,1.0
626,HOLX,2018-09-29,1.0
627,HOLX,2019-09-28,1.0
628,HOLX,2020-09-26,1.0
629,HOLX,2021-09-25,1.0
630,HPE,2018-10-31,1.0
631,HPE,2019-10-31,1.0
632,HPE,2020-10-31,1.0
633,HPE,2021-10-31,1.0
634,HPQ,2018-10-31,1.0
635,HPQ,2019-10-31,1.0
636,HPQ,2020-10-31,1.0
637,HPQ,2021-10-31,1.0
638,HRL,2018-10-28,1.0
639,HRL,2019-10-27,1.0
640,HRL,2020-10-25,1.0
641,HRL,2021-10-31,1.0
642,HUBB,2018-12-31,1.0
643,HUBB,2019-12-31,1.0
644,HUBB,2020-12-31,1.0
645,HUBB,2021-12-31,1.0
646,HUN,2017-12-31,1.0
647,HUN,2018-12-31,1.0
648,HUN,2019-12-31,1.0
649,HUN,2020-12-31,1.0
650,HXL,2018-12-31,1.0
651,HXL,2019-12-31,1.0
652,HXL,2020-12-31,1.0
653,HXL,2021-12-31,1.0
654,HY,2017-12-31,1.0
655,HY,2018-12-31,1.0
656,HY,2019-12-31,1.0
