ticker,date,exchange_rate
EW,2021-09-30,1.0
EW,2021-12-31,1.0
EXP,2020-12-31,1.0
EXP,2021-03-31,1.0
EXP,2021-06-30,1.0
EXP,2021-09-30,1.0
FB,2021-06-30,1.0
FB,2021-09-30,1.0
FB,2021-12-31,1.0
FB,2022-03-31,1.0
FBHS,2021-03-31,1.0
FBHS,2021-06-30,1.0
FBHS,2021-09-30,1.0
FBHS,2021-12-31,1.0
FCFS,2021-03-31,1.0
FCFS,2021-06-30,1.0
FCFS,2021-09-30,1.0
FCFS,2021-12-31,1.0
FCX,2021-03-31,1.0
FCX,2021-06-30,1.0
FCX,2021-09-30,1.0
FCX,2021-12-31,1.0
FEMSAUBD.MX,2017-09-30,0.0550103907480406
FEMSAUBD.MX,2017-12-31,0.0506863557216033
FEMSAUBD.MX,2018-03-31,0.054699465924377
FEMSAUBD.MX,2018-06-30,0.0509490116556025
FERG,2020-10-31,1.0
FERG,2021-04-30,1.0
FERG,2021-07-31,1.0
FERG,2021-10-31,1.0
FET,2020-12-31,1.0
FET,2021-03-31,1.0
FET,2021-06-30,1.0
FET,2021-09-30,1.0
FISV,2020-12-31,1.0
FISV,2021-03-31,1.0
FISV,2021-06-30,1.0
FISV,2021-09-30,1.0
FLO,2021-04-24,1.0
FLO,2021-07-17,1.0
FLO,2021-10-09,1.0
FLO,2022-01-01,1.0
FLOW,2020-12-31,1.0
FLOW,2021-04-03,1.0
FLOW,2021-07-03,1.0
FLOW,2021-10-02,1.0
FME.DE,2020-12-31,1.2271
FME.DE,2021-03-31,1.1725
FME.DE,2021-06-30,1.1884
FME.DE,2021-09-30,1.1579
FPH,2020-12-31,1.0
FPH,2021-03-31,1.0
FPH,2021-06-30,1.0
FPH,2021-09-30,1.0
FREE,2020-12-31,1.0
FREE,2021-03-31,1.0
FREE,2021-06-30,1.0
FREE,2021-09-30,1.0
FTNT,2020-12-31,1.0
FTNT,2021-03-31,1.0
FTNT,2021-06-30,1.0
FTNT,2021-09-30,1.0
FTV,2021-04-02,1.0
FTV,2021-07-02,1.0
FTV,2021-10-01,1.0
FTV,2021-12-31,1.0
GBX,2020-11-30,1.0
GBX,2021-02-28,1.0
GBX,2021-05-31,1.0
GBX,2021-08-31,1.0
GD,2021-04-04,1.0
GD,2021-07-04,1.0
GD,2021-10-03,1.0
GD,2021-12-31,1.0
GFI,2021-03-31,1.0
GFI,2021-06-30,1.0
GFI,2021-09-30,1.0
GFI,2021-12-31,1.0
GGBR4.SA,2021-03-31,0.17393819816345
GGBR4.SA,2021-06-30,0.2012531752751905
GGBR4.SA,2021-09-30,0.1848764988583928
GGBR4.SA,2021-12-31,0.1794900239298901
GHC,2021-03-31,1.0
GHC,2021-06-30,1.0
GHC,2021-09-30,1.0
GHC,2021-12-31,1.0
GIII,2021-01-31,1.0
GIII,2021-04-30,1.0
GIII,2021-07-31,1.0
GIII,2021-10-31,1.0
GLT,2020-12-31,1.0
GLT,2021-03-31,1.0
GLT,2021-06-30,1.0
GLT,2021-09-30,1.0
GLW,2020-12-31,1.0
GLW,2021-03-31,1.0
GLW,2021-06-30,1.0
GLW,2021-09-30,1.0
GOOGL,2020-12-31,1.0
GOOGL,2021-03-31,1.0
GOOGL,2021-06-30,1.0
GOOGL,2021-09-30,1.0
GTX,2021-03-31,1.0
GTX,2021-06-30,1.0
GTX,2021-09-30,1.0
GTX,2021-12-31,1.0
HBM,2020-12-31,1.0
HBM,2021-03-31,1.0
HBM,2021-06-30,1.0
HBM,2021-09-30,1.0
HCC,2021-03-31,1.0
HCC,2021-06-30,1.0
HCC,2021-09-30,1.0
HCC,2021-12-31,1.0
HFC,2020-12-31,1.0
HFC,2021-03-31,1.0
HFC,2021-06-30,1.0
HFC,2021-09-30,1.0
HII,2021-03-31,1.0
HII,2021-06-30,1.0
HII,2021-09-30,1.0
HII,2021-12-31,1.0
HLF,2020-12-31,1.0
HLF,2021-03-31,1.0
HLF,2021-06-30,1.0
HLF,2021-09-30,1.0
HOLX,2021-03-27,1.0
HOLX,2021-06-26,1.0
HOLX,2021-09-25,1.0
HOLX,2021-12-25,1.0
HPE,2021-01-31,1.0
HPE,2021-04-30,1.0
HPE,2021-07-31,1.0
HPE,2021-10-31,1.0
HPQ,2021-01-31,1.0
HPQ,2021-04-30,1.0
HPQ,2021-07-31,1.0
HPQ,2021-10-31,1.0
HRL,2021-01-24,1.0
HRL,2021-04-25,1.0
HRL,2021-07-25,1.0
HRL,2021-10-31,1.0
HUBB,2021-03-31,1.0
HUBB,2021-06-30,1.0
HUBB,2021-09-30,1.0
HUBB,2021-12-31,1.0
HUN,2020-12-31,1.0
HUN,2021-03-31,1.0
HUN,2021-06-30,1.0
HUN,2021-09-30,1.0
HXL,2021-03-31,1.0
HXL,2021-06-30,1.0
HXL,2021-09-30,1.0
HXL,2021-12-31,1.0
HY,2020-12-31,1.0
HY,2021-03-31,1.0
HY,2021-06-30,1.0
HY,2021-09-30,1.0
HZNP,2021-03-31,1.0
HZNP,2021-06-30,1.0
HZNP,2021-09-30,1.0
HZNP,2021-12-31,1.0
ICL,2020-12-31,1.0
ICL,2021-03-31,1.0
ICL,2021-06-30,1.0
ICL,2021-09-30,1.0
ICUI,2020-12-31,1.0
ICUI,2021-03-31,1.0
ICUI,2021-06-30,1.0
ICUI,2021-09-30,1.0
IEP,2020-12-31,1.0
IEP,2021-03-31,1.0
IEP,2021-06-30,1.0
IEP,2021-09-30,1.0
IEX,2020-12-31,1.0
IEX,2021-03-31,1.0
IEX,2021-06-30,1.0
IEX,2021-09-30,1.0
IFF,2021-03-31,1.0
IFF,2021-06-30,1.0
IFF,2021-09-30,1.0
IFF,2021-12-31,1.0
IIVI,2020-12-31,1.0
IIVI,2021-03-31,1.0
IIVI,2021-06-30,1.0
IIVI,2021-09-30,1.0
ILMN,2021-01-03,1.0
ILMN,2021-04-04,1.0
ILMN,2021-07-04,1.0
ILMN,2021-10-03,1.0
IMG.TO,2020-12-31,0.7689744539059608
IMG.TO,2021-03-31,0.7931944256528211
IMG.TO,2021-06-30,0.807227278902323
IMG.TO,2021-09-30,0.7850169491525423
IMKTA,2020-12-26,1.0
IMKTA,2021-03-27,1.0
IMKTA,2021-06-26,1.0
IMKTA,2021-09-25,1.0
IMO,2020-12-31,1.0
IMO,2021-03-31,1.0
IMO,2021-06-30,1.0
IMO,2021-09-30,1.0
INGR,2020-12-31,1.0
INGR,2021-03-31,1.0
INGR,2021-06-30,1.0
INGR,2021-09-30,1.0
INTC,2021-03-27,1.0
INTC,2021-06-26,1.0
INTC,2021-09-25,1.0
INTC,2021-12-25,1.0
IR,2020-12-31,1.0
IR,2021-03-31,1.0
IR,2021-06-30,1.0
IR,2021-09-30,1.0
ITGR,2021-04-02,1.0
ITGR,2021-07-02,1.0
ITGR,2021-10-01,1.0
ITGR,2021-12-31,1.0
ITT,2021-03-31,1.0
ITT,2021-07-03,1.0
ITT,2021-10-02,1.0
ITT,2021-12-31,1.0
JCI,2020-12-31,1.0
JCI,2021-03-31,1.0
JCI,2021-06-30,1.0
JCI,2021-09-30,1.0
JD,2020-12-31,1.0
JD,2021-03-31,1.0
JD,2021-06-30,1.0
JD,2021-09-30,1.0
JNJ,2021-04-04,1.0
JNJ,2021-07-04,1.0
JNJ,2021-10-03,1.0
JNJ,2022-01-02,1.0
JNPR,2020-12-31,1.0
JNPR,2021-03-31,1.0
JNPR,2021-06-30,1.0
JNPR,2021-09-30,1.0
K,2021-01-02,1.0
K,2021-04-03,1.0
K,2021-07-03,1.0
K,2021-10-02,1.0
KAMN,2021-04-02,1.0
KAMN,2021-07-02,1.0
KAMN,2021-10-01,1.0
KAMN,2021-12-31,1.0
KBH,2021-02-28,1.0
KBH,2021-05-31,1.0
KBH,2021-08-31,1.0
KBH,2021-11-30,1.0
KDP,2020-12-31,1.0
KDP,2021-03-31,1.0
KDP,2021-06-30,1.0
KDP,2021-09-30,1.0
KEX,2020-12-31,1.0
KEX,2021-03-31,1.0
KEX,2021-06-30,1.0
KEX,2021-09-30,1.0
KEY,2020-12-31,1.0
KEY,2021-03-31,1.0
KEY,2021-06-30,1.0
KEY,2021-09-30,1.0
KEYS,2021-01-31,1.0
KEYS,2021-04-30,1.0
KEYS,2021-07-31,1.0
KEYS,2021-10-31,1.0
KHC,2020-12-26,1.0
KHC,2021-03-27,1.0
KHC,2021-06-26,1.0
KHC,2021-09-25,1.0
KMT,2021-03-31,1.0
KMT,2021-06-30,1.0
KMT,2021-09-30,1.0
KMT,2021-12-31,1.0
KODK,2020-12-31,1.0
KODK,2021-03-31,1.0
KODK,2021-06-30,1.0
KODK,2021-09-30,1.0
KOF,2020-12-31,1.0
KOF,2021-03-31,1.0
KOF,2021-06-30,1.0
KOF,2021-09-30,1.0
KRO,2020-12-31,1.0
KRO,2021-03-31,1.0
KRO,2021-06-30,1.0
KRO,2021-09-30,1.0
KT,2020-12-31,1.0
KT,2021-03-31,1.0
KT,2021-06-30,1.0
KT,2021-09-30,1.0
LCI,2021-03-31,1.0
LCI,2021-06-30,1.0
LCI,2021-09-30,1.0
LCI,2021-12-31,1.0
LEA,2020-12-31,1.0
LEA,2021-04-03,1.0
LEA,2021-07-03,1.0
LEA,2021-10-02,1.0
LEN,2021-02-28,1.0
LEN,2021-05-31,1.0
LEN,2021-08-31,1.0
LEN,2021-11-30,1.0
LGIH,2020-12-31,1.0
LGIH,2021-03-31,1.0
LGIH,2021-06-30,1.0
LGIH,2021-09-30,1.0
LH,2020-12-31,1.0
LH,2021-03-31,1.0
LH,2021-06-30,1.0
LH,2021-09-30,1.0
LHX,2021-01-01,1.0
LHX,2021-04-02,1.0
LHX,2021-07-02,1.0
LHX,2021-10-01,1.0
LII,2020-12-31,1.0
LII,2021-03-31,1.0
LII,2021-06-30,1.0
LII,2021-09-30,1.0
LIN,2021-03-31,1.0
LIN,2021-06-30,1.0
LIN,2021-09-30,1.0
LIN,2021-12-31,1.0
LITE,2021-04-03,1.0
LITE,2021-07-03,1.0
LITE,2021-10-02,1.0
LITE,2022-01-01,1.0
LKQ,2020-12-31,1.0
LKQ,2021-03-31,1.0
LKQ,2021-06-30,1.0
LKQ,2021-09-30,1.0
LPX,2020-12-31,1.0
LPX,2021-03-31,1.0
LPX,2021-06-30,1.0
LPX,2021-09-30,1.0
LRCX,2020-12-27,1.0
LRCX,2021-03-28,1.0
LRCX,2021-06-27,1.0
LRCX,2021-09-26,1.0
LYLT,2021-03-31,1.0
LYLT,2021-06-30,1.0
LYLT,2021-09-30,1.0
LYLT,2021-12-31,1.0
MDC,2021-03-31,1.0
MDC,2021-06-30,1.0
MDC,2021-09-30,1.0
MDC,2021-12-31,1.0
MDLZ,2020-12-31,1.0
MDLZ,2021-03-31,1.0
MDLZ,2021-06-30,1.0
MDLZ,2021-09-30,1.0
MDT,2021-01-29,1.0
MDT,2021-04-30,1.0
MDT,2021-07-30,1.0
MDT,2021-10-29,1.0
MDU,2020-12-31,1.0
MDU,2021-03-31,1.0
MDU,2021-06-30,1.0
MDU,2021-09-30,1.0
MG,2020-12-31,1.0
MG,2021-03-31,1.0
MG,2021-06-30,1.0
MG,2021-09-30,1.0
MHK,2020-12-31,1.0
MHK,2021-04-03,1.0
MHK,2021-07-03,1.0
MHK,2021-10-02,1.0
MHO,2020-12-31,1.0
MHO,2021-03-31,1.0
MHO,2021-06-30,1.0
MHO,2021-09-30,1.0
MIR,2020-06-30,1.0
MIR,2020-09-30,1.0
MIR,2021-06-30,1.0
MIR,2021-09-30,1.0
MKSI,2021-03-31,1.0
MKSI,2021-06-30,1.0
MKSI,2021-09-30,1.0
MKSI,2021-12-31,1.0
MLKN,2021-02-27,1.0
MLKN,2021-05-29,1.0
