ticker,date,TotalDebt,WorkingCapital,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow,SaleOfPPE
APTV,2021-12-31,4463000000.0,4229000000.0,2784000000.0,611000000.0,-191000000.0,1222000000.0,9000000.0
AQN,2018-12-31,3336795000.0,-7376000.0,245728000.0,63983000.0,931937000.0,530352000.0,
AQN,2019-12-31,3931868000.0,-358875000.0,259144000.0,29928000.0,733366000.0,611260000.0,
AQN,2020-12-31,4538470000.0,-260196000.0,325644000.0,-280813000.0,766859000.0,505217000.0,415000.0
AQN,2021-12-31,6211375000.0,-425969000.0,300733000.0,-1187579000.0,1673716000.0,157466000.0,
ARNC,2018-12-31,369000000.0,83000000.0,408000000.0,186000000.0,-536000000.0,503000000.0,
ARNC,2019-12-31,379000000.0,99000000.0,384000000.0,256000000.0,-295000000.0,457000000.0,
ARNC,2020-12-31,1425000000.0,1169000000.0,631000000.0,-157000000.0,744000000.0,6000000.0,
ARNC,2021-12-31,1719000000.0,1105000000.0,922000000.0,-591000000.0,135000000.0,-407000000.0,
ARRY,2018-12-31,155027000.0,39305000.0,51557000.0,-18157000.0,50863000.0,-11727000.0,
ARRY,2019-12-31,97749000.0,29064000.0,96251000.0,384376000.0,-63945000.0,386073000.0,
ARRY,2020-12-31,428283000.0,86072000.0,118694000.0,-123543000.0,-129273000.0,-122205000.0,
ARRY,2021-12-31,721265000.0,606728000.0,236009000.0,-266544000.0,537748000.0,-263187000.0,
ARW,2018-12-31,3485372000.0,4817872000.0,8945463000.0,117354000.0,-36833000.0,272690000.0,5421000.0
ARW,2019-12-31,2971560000.0,4268000000.0,8482687000.0,707188000.0,-906369000.0,857995000.0,0.0
ARW,2020-12-31,2256573000.0,4022016000.0,9205343000.0,1235545000.0,-1227097000.0,1359843000.0,0.0
ARW,2021-12-31,2627062000.0,4567234000.0,11123946000.0,335932000.0,-463304000.0,418983000.0,22171000.0
ASH,2018-09-30,2529000000.0,637000000.0,681000000.0,112000000.0,-368000000.0,297000000.0,4000000.0
ASH,2019-09-30,1667000000.0,676000000.0,481000000.0,87000000.0,-1149000000.0,241000000.0,9000000.0
ASH,2020-09-30,2000000000.0,734000000.0,471000000.0,65000000.0,9000000.0,203000000.0,5000000.0
ASH,2021-09-30,2103000000.0,783000000.0,369000000.0,455000000.0,-426000000.0,560000000.0,5000000.0
ATKR,2018-09-30,904247000.0,374391000.0,265147000.0,107202000.0,-65931000.0,145703000.0,349000.0
ATKR,2019-09-30,845317000.0,412003000.0,315353000.0,174834000.0,-78180000.0,209694000.0,80000.0
ATKR,2020-09-30,843665000.0,552506000.0,298242000.0,214992000.0,-61179000.0,248762000.0,3920000.0
