,ticker,date,exchange_rate
363,CSL,2020-12-31,1.0
364,CSL,2021-12-31,1.0
365,CSTM,2018-12-31,1.0
366,CSTM,2019-12-31,1.0
367,CSTM,2020-12-31,1.0
368,CSTM,2021-12-31,1.0
369,CTAS,2018-05-31,1.0
370,CTAS,2019-05-31,1.0
371,CTAS,2020-05-31,1.0
372,CTAS,2021-05-31,1.0
373,CTLT,2018-06-30,1.0
374,CTLT,2019-06-30,1.0
375,CTLT,2020-06-30,1.0
376,CTLT,2021-06-30,1.0
377,CTVA,2018-12-31,1.0
378,CTVA,2019-12-31,1.0
379,CTVA,2020-12-31,1.0
380,CTVA,2021-12-31,1.0
381,CVE,2018-12-31,1.0
382,CVE,2019-12-31,1.0
383,CVE,2020-12-31,1.0
384,CVE,2021-12-31,1.0
385,CVX,2018-12-31,1.0
386,CVX,2019-12-31,1.0
387,CVX,2020-12-31,1.0
388,CVX,2021-12-31,1.0
389,CYH,2018-12-31,1.0
390,CYH,2019-12-31,1.0
391,CYH,2020-12-31,1.0
392,CYH,2021-12-31,1.0
393,DAR,2018-12-31,1.0
394,DAR,2019-12-31,1.0
395,DAR,2020-12-31,1.0
396,DAR,2021-12-31,1.0
397,DBD,2018-12-31,1.0
398,DBD,2019-12-31,1.0
399,DBD,2020-12-31,1.0
400,DBD,2021-12-31,1.0
401,DD,2018-12-31,1.0
402,DD,2019-12-31,1.0
403,DD,2020-12-31,1.0
404,DD,2021-12-31,1.0
405,DDS,2019-01-31,1.0
406,DDS,2020-01-31,1.0
407,DDS,2021-01-31,1.0
408,DDS,2022-01-31,1.0
409,DGX,2018-12-31,1.0
410,DGX,2019-12-31,1.0
411,DGX,2020-12-31,1.0
412,DGX,2021-12-31,1.0
413,DHI,2018-09-30,1.0
414,DHI,2019-09-30,1.0
415,DHI,2020-09-30,1.0
416,DHI,2021-09-30,1.0
417,DHR,2018-12-31,1.0
418,DHR,2019-12-31,1.0
419,DHR,2020-12-31,1.0
420,DHR,2021-12-31,1.0
421,DIS,2018-09-30,1.0
422,DIS,2019-09-30,1.0
423,DIS,2020-09-30,1.0
424,DIS,2021-09-30,1.0
428,DOLE,2018-12-31,1.0
425,DOLE,2019-12-31,1.0
426,DOLE,2020-12-31,1.0
427,DOLE,2021-12-31,1.0
429,DOV,2018-12-31,1.0
430,DOV,2019-12-31,1.0
431,DOV,2020-12-31,1.0
432,DOV,2021-12-31,1.0
433,EAF,2018-12-31,1.0
434,EAF,2019-12-31,1.0
435,EAF,2020-12-31,1.0
436,EAF,2021-12-31,1.0
437,EBS,2018-12-31,1.0
438,EBS,2019-12-31,1.0
439,EBS,2020-12-31,1.0
440,EBS,2021-12-31,1.0
441,EC,2018-12-31,1.0
442,EC,2019-12-31,1.0
443,EC,2020-12-31,1.0
444,EC,2021-12-31,1.0
445,ELAN,2018-12-31,1.0
446,ELAN,2019-12-31,1.0
447,ELAN,2020-12-31,1.0
448,ELAN,2021-12-31,1.0
449,ELD.TO,2018-12-31,0.7337391861582826
450,ELD.TO,2019-12-31,0.7695574736265242
451,ELD.TO,2020-12-31,0.7849421096398644
452,ELD.TO,2021-12-31,0.7869103036198152
453,EMN,2018-12-31,1.0
454,EMN,2019-12-31,1.0
455,EMN,2020-12-31,1.0
456,EMN,2021-12-31,1.0
457,EMR,2018-09-30,1.0
458,EMR,2019-09-30,1.0
459,EMR,2020-09-30,1.0
460,EMR,2021-09-30,1.0
461,ENDP,2018-12-31,1.0
462,ENDP,2019-12-31,1.0
463,ENDP,2020-12-31,1.0
464,ENDP,2021-12-31,1.0
465,ENELAM.SN,2018-12-31,0.0014
466,ENELAM.SN,2019-12-31,0.0014
467,ENELAM.SN,2020-12-31,0.0013
468,ENELAM.SN,2021-12-31,0.0012
469,ENI.MI,2018-12-31,1.145
470,ENI.MI,2019-12-31,1.1234
471,ENI.MI,2020-12-31,1.2271
472,ENI.MI,2021-12-31,1.1326
473,ENS,2019-03-31,1.0
474,ENS,2020-03-31,1.0
475,ENS,2021-03-31,1.0
476,ENTG,2018-12-31,1.0
477,ENTG,2019-12-31,1.0
478,ENTG,2020-12-31,1.0
479,ENTG,2021-12-31,1.0
480,EOG,2018-12-31,1.0
481,EOG,2019-12-31,1.0
482,EOG,2020-12-31,1.0
483,EOG,2021-12-31,1.0
484,EPC,2018-09-30,1.0
485,EPC,2019-09-30,1.0
486,EPC,2020-09-30,1.0
487,EPC,2021-09-30,1.0
488,ERIC-B.ST,2018-12-31,0.11165502983968484
489,ERIC-B.ST,2019-12-31,0.1075353218210361
490,ERIC-B.ST,2020-12-31,0.0989943282017063
491,ERIC-B.ST,2021-12-31,0.0989943282017063
492,ESI,2018-12-31,1.0
493,ESI,2019-12-31,1.0
494,ESI,2020-12-31,1.0
495,ESI,2021-12-31,1.0
496,ETN,2018-12-31,1.0
497,ETN,2019-12-31,1.0
498,ETN,2020-12-31,1.0
499,ETN,2021-12-31,1.0
500,EW,2018-12-31,1.0
501,EW,2019-12-31,1.0
502,EW,2020-12-31,1.0
503,EW,2021-12-31,1.0
504,EXP,2019-03-31,1.0
505,EXP,2020-03-31,1.0
506,EXP,2021-03-31,1.0
507,FBHS,2018-12-31,1.0
508,FBHS,2019-12-31,1.0
509,FBHS,2020-12-31,1.0
510,FBHS,2021-12-31,1.0
511,FCFS,2018-12-31,1.0
512,FCFS,2019-12-31,1.0
513,FCFS,2020-12-31,1.0
514,FCFS,2021-12-31,1.0
515,FCX,2018-12-31,1.0
516,FCX,2019-12-31,1.0
517,FCX,2020-12-31,1.0
518,FCX,2021-12-31,1.0
519,FEMSAUBD.MX,2018-12-31,0.050906762818945316
520,FEMSAUBD.MX,2019-12-31,0.049480655612731086
521,FEMSAUBD.MX,2020-12-31,0.05025802752293578
522,FEMSAUBD.MX,2021-12-31,0.048937512422333414
523,FERG,2018-07-31,1.0
524,FERG,2019-07-31,1.0
525,FERG,2020-07-31,1.0
526,FERG,2021-07-31,1.0
527,FET,2018-12-31,1.0
528,FET,2019-12-31,1.0
529,FET,2020-12-31,1.0
530,FET,2021-12-31,1.0
531,FISV,2018-12-31,1.0
532,FISV,2019-12-31,1.0
533,FISV,2020-12-31,1.0
534,FISV,2021-12-31,1.0
535,FLO,2018-12-31,1.0
536,FLO,2019-12-31,1.0
537,FLO,2020-12-31,1.0
538,FLO,2021-12-31,1.0
539,FME.DE,2018-12-31,1.145
540,FME.DE,2019-12-31,1.1234
541,FME.DE,2020-12-31,1.2271
542,FME.DE,2021-12-31,1.0385
543,FPH,2018-12-31,1.0
544,FPH,2019-12-31,1.0
545,FPH,2020-12-31,1.0
546,FPH,2021-12-31,1.0
550,FREE,2018-12-31,1.0
549,FREE,2019-12-31,1.0
547,FREE,2020-12-31,1.0
548,FREE,2021-12-31,1.0
552,FTNT,2018-12-31,1.0
553,FTNT,2019-12-31,1.0
554,FTNT,2020-12-31,1.0
551,FTNT,2021-12-31,1.0
555,FTV,2018-12-31,1.0
556,FTV,2019-12-31,1.0
557,FTV,2020-12-31,1.0
558,FTV,2021-12-31,1.0
559,GBX,2018-08-31,1.0
560,GBX,2019-08-31,1.0
561,GBX,2020-08-31,1.0
562,GBX,2021-08-31,1.0
563,GD,2018-12-31,1.0
564,GD,2019-12-31,1.0
565,GD,2020-12-31,1.0
566,GD,2021-12-31,1.0
567,GFI,2018-12-31,1.0
568,GFI,2019-12-31,1.0
569,GFI,2020-12-31,1.0
570,GFI,2021-12-31,1.0
571,GGBR4.SA,2018-12-31,0.25765076507650764
572,GGBR4.SA,2019-12-31,0.24877649090949355
573,GGBR4.SA,2020-12-31,0.1925315760571115
574,GGBR4.SA,2021-12-31,0.17949002392989016
575,GHC,2018-12-31,1.0
576,GHC,2019-12-31,1.0
577,GHC,2020-12-31,1.0
578,GHC,2021-12-31,1.0
579,GIII,2019-01-31,1.0
580,GIII,2020-01-31,1.0
581,GIII,2021-01-31,1.0
582,GIII,2022-01-31,1.0
583,GLT,2018-12-31,1.0
584,GLT,2019-12-31,1.0
585,GLT,2020-12-31,1.0
586,GLT,2021-12-31,1.0
587,GLW,2018-12-31,1.0
588,GLW,2019-12-31,1.0
589,GLW,2020-12-31,1.0
590,GLW,2021-12-31,1.0
591,GOOGL,2018-12-31,1.0
592,GOOGL,2019-12-31,1.0
593,GOOGL,2020-12-31,1.0
594,GOOGL,2021-12-31,1.0
595,GTX,2018-12-31,1.0
596,GTX,2019-12-31,1.0
597,GTX,2020-12-31,1.0
598,GTX,2021-12-31,1.0
599,HBM,2018-12-31,1.0
600,HBM,2019-12-31,1.0
601,HBM,2020-12-31,1.0
602,HBM,2021-12-31,1.0
603,HCC,2018-12-31,1.0
